岗位名称,层级,岗位名称（层级）,能力重点
技术支持工程师,初级,助理技术支持工程师,了解技术支持的基本工作内容，了解计算机基础、网络基础等知识，通过课程学习或实习接触过相关工作，但无独立支持经验
技术支持工程师,中级,技术支持工程师,能独立处理常见的技术问题，熟练使用故障排查工具，掌握公司产品的使用和配置，能独立完成常规技术支持任务
技术支持工程师,高级,高级技术支持工程师 / 技术支持主管,能建立技术支持体系和标准，解决行业级技术难题，担任技术支持负责人或技术专家角色，推动技术支持方法革新
软件测试,初级,助理软件测试工程师,了解软件功能测试、测试用例执行、缺陷跟踪，通过课程学习或实习接触过相关工作，但无独立测试经验
软件测试,中级,软件测试工程师,能独立进行测试用例设计、自动化测试、性能测试基础，能独立完成常规测试任务和问题分析
软件测试,高级,高级软件测试工程师 / 测试经理,能主导测试方案设计、性能测试、自动化测试平台建设，能指导初级测试工程师，能处理复杂的测试问题
实施工程师,初级,助理实施工程师,了解实施工程师的基本工作内容，了解工业协议、SQL、Python等基础技术，通过课程学习或实习接触过相关工作，但无独立实施经验
实施工程师,中级,实施工程师,能独立负责系统实施部署、数据配置、现场调试，熟练使用SQL数据库，掌握常见工业协议，能独立完成常规实施任务和问题排查
实施工程师,高级,高级实施工程师 / 实施经理,能制定实施标准和规范，主导大型项目的实施架构设计，解决行业级实施难题，担任实施负责人或技术专家角色
售前工程师,初级,售前助理,了解售前的基本工作内容，了解技术方案、产品演示等基础，通过课程学习或实习接触过相关工作，但无独立售前经验
售前工程师,中级,售前工程师,能独立进行方案撰写、技术演示、需求分析，熟练使用PPT演示工具，掌握招投标流程，能独立完成常规售前任务
售前工程师,高级,高级售前工程师 / 售前技术总监,能制定解决方案架构、主导招投标支持、进行战略客户对接，担任售前负责人或技术专家角色
Java,初级,助理Java工程师,了解Java语言基础、面向对象概念，了解MySQL等数据库基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
Java,中级,Java工程师,能独立使用Spring Boot/Spring Cloud开发后端服务，熟练使用MySQL/Oracle数据库，掌握Redis缓存和Kafka/RabbitMQ消息队列，能独立完成模块开发和常见问题排查
Java,高级,高级Java工程师 / 技术经理,能主导微服务架构设计与开发，精通JVM性能调优，熟悉分布式事务、分布式锁等分布式系统核心技术，能指导初中级工程师
