岗位名称,层级,岗位名称（层级）,能力重点
前端开发,初级,助理前端开发工程师,了解HTML、CSS、JavaScript基础，了解前端开发的基本概念，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
前端开发,中级,前端开发工程师,能独立使用Vue/React等前端框架开发Web应用，熟练使用CSS预处理器、构建工具，能独立完成模块开发和常见问题排查
前端开发,高级,高级前端开发工程师 / 前端技术经理,能主导前端架构设计与开发，精通性能优化和工程化，熟悉前端安全、跨端开发等核心技术，能指导初中级工程师
UI/UX设计师,初级,助理UI设计师,了解设计基础、配色原理、排版布局，了解Photoshop/Figma等设计工具，通过课程学习或实习接触过相关工作，但尚无独立设计经验
UI/UX设计师,中级,UI/UX设计师,能独立完成界面设计、交互设计、用户体验优化，熟练使用Figma/Sketch等设计工具，能独立完成常规设计任务
UI/UX设计师,高级,高级UI/UX设计师 / 设计主管,能主导设计系统建设、用户研究、设计规范制定，能指导初级设计师，能处理复杂的设计问题
产品经理,初级,产品助理,了解产品需求分析、原型设计、需求文档撰写，通过课程学习或实习接触过相关工作，但尚无独立产品经验
产品经理,中级,产品经理,能独立进行产品规划、需求管理、项目协调，熟练使用Axure/Figma等原型工具，能独立完成常规产品任务
产品经理,高级,高级产品经理 / 产品总监,能主导产品战略规划、商业模式设计、产品路线图制定，能指导初级产品经理，能处理复杂的产品问题
Java,初级,助理Java工程师,了解Java语言基础、面向对象概念，了解MySQL等数据库基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
Java,中级,Java工程师,能独立使用Spring Boot/Spring Cloud开发后端服务，熟练使用MySQL/Oracle数据库，掌握Redis缓存和Kafka/RabbitMQ消息队列，能独立完成模块开发和常见问题排查
Java,高级,高级Java工程师 / 技术经理,能主导微服务架构设计与开发，精通JVM性能调优，熟悉分布式事务、分布式锁等分布式系统核心技术，能指导初中级工程师
软件测试,初级,助理软件测试工程师,了解软件功能测试、测试用例执行、缺陷跟踪，通过课程学习或实习接触过相关工作，但尚无独立测试经验
软件测试,中级,软件测试工程师,能独立进行测试用例设计、自动化测试、性能测试基础，能独立完成常规测试任务和问题分析
软件测试,高级,高级软件测试工程师 / 测试经理,能主导测试方案设计、性能测试、自动化测试平台建设，能指导初级测试工程师，能处理复杂的测试问题
