源岗位,目标岗位,转换依据,需补充能力
前端开发,UI/UX设计师,具备审美能力、理解用户体验，熟悉Web界面，了解交互设计，具备设计基础,设计理论学习; Figma/Sketch设计工具; 用户研究方法
前端开发,产品经理,具备产品理解能力、用户思维，熟悉产品开发流程，了解需求分析,产品方法论; 需求分析能力; 商业思维
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
UI/UX设计师,前端开发,具备界面设计能力、用户体验思维，熟悉Web设计规范，了解前端技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
UI/UX设计师,产品经理,具备用户思维、产品理解能力，熟悉用户研究，了解产品流程,产品方法论; 需求分析能力; 商业思维
UI/UX设计师,软件测试,具备产品理解能力、用户体验思维，熟悉界面交互，了解功能验证,测试用例设计方法; 测试工具使用; 缺陷管理流程
产品经理,前端开发,具备产品思维、用户思维，熟悉产品开发流程，了解技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
产品经理,UI/UX设计师,具备用户思维、产品理解能力，熟悉用户研究，了解设计流程,设计理论学习; Figma/Sketch设计工具; 设计能力提升
产品经理,Java,具备产品思维、逻辑思维能力，了解技术实现，熟悉产品流程,Java编程深入学习; 后端开发框架; 代码编写能力
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript深入学习; Vue/React框架掌握; 前端工程化工具
Java,产品经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,产品方法论; 需求分析能力; 商业思维
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,产品经理,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,产品方法论; 需求分析能力; 商业思维
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解系统功能，熟悉软件开发生命周期,Java编程深入学习; 后端开发框架; 数据库设计
