源岗位,目标岗位,转换依据,需补充能力
技术支持工程师,软件测试,熟悉产品功能，具备故障排查能力，了解质量要求，具备客户反馈处理经验,测试用例设计方法; 测试工具使用; 缺陷管理流程
技术支持工程师,实施工程师,熟悉产品功能，具备现场支持经验，了解客户需求，具备沟通协调能力,实施流程熟悉; 系统部署能力; 现场调试经验
技术支持工程师,售前工程师,熟悉产品功能，具备客户沟通能力，了解技术方案，具备演示能力,方案撰写能力; PPT演示技巧; 招投标流程知识
软件测试,技术支持工程师,熟悉产品功能，具备故障排查能力，了解质量要求，具备问题分析能力,技术支持流程; 客户沟通技巧; 知识库建设能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,实施工程师,熟悉产品功能，具备质量把控能力，了解系统功能，具备问题分析能力,实施流程熟悉; 系统部署能力; 现场调试经验
实施工程师,技术支持工程师,熟悉产品功能，具备现场支持经验，了解客户需求，具备沟通协调能力,技术支持流程; 客户沟通技巧; 知识库建设能力
实施工程师,售前工程师,均需理解系统架构，实施经验有助于方案设计；沟通能力已具备，熟悉客户需求,方案撰写能力; PPT演示技巧; 招投标流程知识
实施工程师,软件测试,熟悉产品功能，具备质量把控能力，了解系统功能，具备问题分析能力,测试用例设计方法; 测试工具使用; 缺陷管理流程
售前工程师,技术支持工程师,熟悉产品功能，具备客户沟通能力，了解技术方案，具备演示能力,技术支持流程; 客户沟通技巧; 知识库建设能力
售前工程师,实施工程师,熟悉系统架构，具备方案设计能力，了解客户需求，具备沟通协调能力,现场实施能力; 系统部署实操; 问题排查经验
售前工程师,Java,具备技术理解能力，了解产品实现，熟悉技术方案，具备逻辑思维能力,Java编程深入学习; 后端开发框架; 代码编写能力
Java,技术支持工程师,具备系统理解能力，具备问题排查能力，熟悉产品功能，了解技术实现,技术支持流程; 客户沟通技巧; 知识库建设能力
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,实施工程师,具备系统理解能力，具备问题排查能力，熟悉产品功能，了解技术实现,实施流程熟悉; 系统部署能力; 现场调试经验
