岗位名称,层级,岗位名称（层级）,能力重点
实施工程师,初级,助理实施工程师,了解实施工程师的基本工作内容，了解工业协议、SQL、Python等基础技术，通过课程学习或实习接触过相关工作，但无独立实施经验
实施工程师,中级,实施工程师,能独立负责系统实施部署、数据配置、现场调试，熟练使用SQL数据库，掌握常见工业协议，能独立完成常规实施任务和问题排查
实施工程师,高级,高级实施工程师 / 实施经理,能制定实施标准和规范，主导大型项目的实施架构设计，解决行业级实施难题，担任实施负责人或技术专家角色
技术支持工程师,初级,助理技术支持工程师,了解技术支持的基本工作内容，了解计算机基础、网络基础等知识，通过课程学习或实习接触过相关工作，但无独立支持经验
技术支持工程师,中级,技术支持工程师,能独立处理常见的技术问题，熟练使用故障排查工具，掌握公司产品的使用和配置，能独立完成常规技术支持任务
技术支持工程师,高级,高级技术支持工程师 / 技术支持主管,能建立技术支持体系和标准，解决行业级技术难题，担任技术支持负责人或技术专家角色，推动技术支持方法革新
售前工程师,初级,售前助理,了解售前的基本工作内容，了解技术方案、产品演示等基础，通过课程学习或实习接触过相关工作，但无独立售前经验
售前工程师,中级,售前工程师,能独立进行方案撰写、技术演示、需求分析，熟练使用PPT演示工具，掌握招投标流程，能独立完成常规售前任务
售前工程师,高级,高级售前工程师 / 售前技术总监,能制定解决方案架构、主导招投标支持、进行战略客户对接，担任售前负责人或技术专家角色
项目经理,初级,项目助理,了解项目文档管理、会议组织、进度跟踪，通过课程学习或实习接触过相关工作，但无独立项目管理经验
项目经理,中级,项目经理,能独立进行项目计划制定、资源协调、风险管理，能独立完成常规项目管理任务
项目经理,高级,高级项目经理 / 项目总监,能主导多项目管理、战略规划、客户关系管理，能指导初级项目经理，能处理复杂的项目问题
运维工程师,初级,助理运维工程师,了解服务器基础操作、监控系统使用、故障排查基础，通过课程学习或实习接触过相关工作，但无独立运维经验
运维工程师,中级,运维工程师,能独立进行服务器部署、监控配置、故障排查，能独立完成常规运维任务
运维工程师,高级,高级运维工程师 / 运维经理,能主导运维架构设计、自动化运维、性能优化，能指导初级运维工程师，能处理复杂的运维问题
