源岗位,目标岗位,转换依据,需补充能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,产品经理,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,产品方法论; 需求分析能力; 商业思维
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,产品经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,产品方法论; 需求分析能力; 商业思维
Java,技术支持工程师,具备系统理解能力、问题排查能力，熟悉产品功能，了解技术实现,技术支持流程; 客户沟通技巧; 知识库建设能力
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,产品经理,具备产品理解能力、用户思维，熟悉产品开发流程，了解需求分析,产品方法论; 需求分析能力; 商业思维
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
产品经理,软件测试,具备产品理解能力、质量把控能力，熟悉测试流程，了解产品管理,测试用例设计方法; 测试工具使用; 缺陷管理流程
产品经理,Java,具备产品思维、逻辑思维能力，了解技术实现，熟悉产品流程,Java编程深入学习; 后端开发框架; 代码编写能力
产品经理,前端开发,具备产品思维、用户思维，熟悉产品开发流程，了解技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
技术支持工程师,软件测试,具备产品理解能力、故障排查能力，熟悉产品功能，了解质量要求,测试用例设计方法; 测试工具使用; 缺陷管理流程
技术支持工程师,产品经理,熟悉产品功能，了解用户需求，具备客户沟通能力,产品方法论; 需求分析能力; 商业思维
技术支持工程师,Java,具备系统理解能力、问题排查能力，熟悉产品功能，了解技术实现,Java编程学习; 后端开发框架; 代码编写能力
