源岗位,目标岗位,转换依据,需补充能力
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript深入学习; Vue/React框架掌握; 前端工程化工具
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,项目经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,项目管理方法论; 风险管理能力; 客户关系管理
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 后端知识补充
前端开发,项目经理,具备项目交付经验、沟通协调能力，了解前端技术，熟悉UI/UX设计,项目管理方法论; 后端知识了解; 风险管理能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解系统功能，熟悉软件开发生命周期,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,项目经理,具备项目交付经验、质量把控能力，熟悉测试流程，了解项目管理,项目管理方法论; 资源协调能力; 客户关系管理
项目经理,Java,具备项目管理经验、沟通协调能力，了解技术实现，熟悉项目流程,Java编程深入学习; 后端开发框架; 代码编写能力
项目经理,前端开发,具备项目管理经验、沟通协调能力，了解前端技术，熟悉UI/UX设计,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
项目经理,运维工程师,具备项目管理经验、沟通协调能力，了解系统部署，熟悉服务器管理,Linux系统管理; 运维工具使用; 监控配置能力
运维工程师,Java,具备系统管理能力、服务器部署经验，了解后端服务运行，熟悉Linux环境,Java编程学习; 后端开发框架; 代码编写能力
运维工程师,项目经理,具备项目交付经验、沟通协调能力，了解系统部署，熟悉项目流程,项目管理方法论; 资源协调能力; 客户关系管理
运维工程师,软件测试,具备系统理解能力、故障排查经验，熟悉服务器环境，了解软件运行,测试用例设计方法; 测试工具使用; 缺陷管理流程
