岗位名称,层级,岗位名称（层级）,能力重点
C_C++,初级,助理C/C++工程师,了解C/C++语言基础、数据结构、算法，了解Linux环境基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
C_C++,中级,C/C++工程师,能独立使用C/C++开发系统级应用、嵌入式软件，熟练使用Linux环境、GCC/GDB等工具，掌握多线程、网络编程，能独立完成模块开发和常见问题排查
C_C++,高级,高级C/C++工程师 / 系统架构师,能主导系统架构设计、性能优化，精通内存管理、并发编程，熟悉底层驱动开发，能指导初中级工程师
硬件测试,初级,助理硬件测试工程师,了解硬件测试的基本工作内容，了解示波器、万用表等基本仪器的使用，通过课程学习或实习接触过相关工作，但尚无独立测试经验
硬件测试,中级,硬件测试工程师,能独立负责硬件功能测试、可靠性测试、环境测试，熟练使用示波器、综测仪等测试仪器，掌握CE/FCC/3C等认证标准，能独立完成常规测试任务和问题排查
硬件测试,高级,高级硬件测试工程师 / 测试经理,能制定硬件测试标准和规范，主导测试平台搭建和自动化测试，解决行业级硬件测试难题，担任测试负责人或技术专家角色
Java,初级,助理Java工程师,了解Java语言基础、面向对象概念，了解MySQL等数据库基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
Java,中级,Java工程师,能独立使用Spring Boot/Spring Cloud开发后端服务，熟练使用MySQL/Oracle数据库，掌握Redis缓存和Kafka/RabbitMQ消息队列，能独立完成模块开发和常见问题排查
Java,高级,高级Java工程师 / 技术经理,能主导微服务架构设计与开发，精通JVM性能调优，熟悉分布式事务、分布式锁等分布式系统核心技术，能指导初中级工程师
嵌入式工程师,初级,助理嵌入式工程师,了解嵌入式系统基础、单片机原理，了解C语言和电路基础，通过课程学习或实习接触过相关工作，但尚无独立开发经验
嵌入式工程师,中级,嵌入式工程师,能独立负责嵌入式系统开发、驱动开发，熟练使用Keil/IAR等开发工具，掌握ARM架构和Linux嵌入式系统，能独立完成常规开发任务
嵌入式工程师,高级,高级嵌入式工程师 / 嵌入式架构师,能主导嵌入式系统架构设计、性能优化，精通RTOS和底层驱动，能指导初级嵌入式工程师
软件测试,初级,助理软件测试工程师,了解软件功能测试、测试用例执行、缺陷跟踪，通过课程学习或实习接触过相关工作，但无独立测试经验
软件测试,中级,软件测试工程师,能独立进行测试用例设计、自动化测试、性能测试基础，能独立完成常规测试任务和问题分析
软件测试,高级,高级软件测试工程师 / 测试经理,能主导测试方案设计、性能测试、自动化测试平台建设，能指导初级测试工程师，能处理复杂的测试问题
