源岗位,目标岗位,转换依据,需补充能力
APP推广,产品经理,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备用户增长思维,产品方法论; 需求分析能力; 原型设计能力
APP推广,运营专员,具备用户运营经验，了解活动策划，具备数据分析能力，具备增长思维,内容运营能力; 用户运营深入; 活动策划能力
APP推广,市场专员,具备市场推广经验，了解品牌推广，具备数据分析能力，具备用户增长思维,市场调研能力; 品牌推广深入; 市场活动策划
产品经理,APP推广,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备产品思维,推广渠道了解; 用户增长方法; 应用商店优化
产品经理,运营专员,熟悉产品逻辑，了解用户需求，具备数据分析能力，具备产品思维,内容运营能力; 用户运营深入; 活动策划能力
产品经理,数据分析师,具备数据分析基础，了解用户需求，具备逻辑思维能力，具备产品思维,SQL学习; Python学习; 数据分析深入
运营专员,APP推广,具备用户运营经验，了解活动策划，具备数据分析能力，具备增长思维,推广渠道了解; 应用商店优化; 用户增长方法
运营专员,产品经理,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备运营思维,产品方法论; 需求分析能力; 原型设计能力
运营专员,市场专员,具备市场推广经验，了解品牌推广，具备活动策划能力，具备运营思维,市场调研能力; 品牌推广深入; 市场活动策划
市场专员,APP推广,具备市场推广经验，了解品牌推广，具备数据分析能力，具备市场思维,推广渠道了解; 应用商店优化; 用户增长方法
市场专员,运营专员,具备市场推广经验，了解品牌推广，具备活动策划能力，具备市场思维,内容运营能力; 用户运营深入; 活动策划能力
市场专员,产品经理,熟悉市场需求，了解用户需求，具备数据分析能力，具备市场思维,产品方法论; 需求分析能力; 原型设计能力
数据分析师,APP推广,具备数据分析能力，了解用户行为，具备增长思维，具备数据驱动意识,推广渠道了解; 应用商店优化; 用户增长方法
数据分析师,产品经理,具备数据分析能力，了解用户需求，具备逻辑思维能力，具备数据驱动意识,产品方法论; 需求分析能力; 原型设计能力
数据分析师,运营专员,具备数据分析能力，了解用户行为，具备增长思维，具备数据驱动意识,内容运营能力; 用户运营深入; 活动策划能力
