源岗位,目标岗位,转换依据,需补充能力
实施工程师,售前工程师,均需理解工业系统架构，实施经验有助于方案设计；沟通能力已具备，熟悉客户需求,方案撰写能力; PPT演示技巧; 招投标流程知识
实施工程师,技术支持工程师,熟悉产品功能和客户问题，具备现场支持经验，了解系统配置和调试,技术支持流程; 知识库建设能力; 远程支持技巧
实施工程师,项目经理,具备项目交付经验，熟悉客户对接，了解项目全流程,项目管理方法论; 预算管理; 风险管控能力
技术支持工程师,实施工程师,熟悉产品功能和客户问题，具备现场支持经验,系统部署能力; 数据配置能力; 方案设计基础
技术支持工程师,售前工程师,熟悉产品功能，具备客户沟通能力，了解客户需求,方案撰写能力; 技术演示能力; 招投标知识
技术支持工程师,运维工程师,具备故障排查能力，熟悉系统运行，了解服务器环境,Linux系统管理; 自动化运维工具; 监控配置能力
售前工程师,实施工程师,熟悉系统架构，具备方案设计能力，了解客户需求,现场实施能力; 系统部署实操; 问题排查经验
售前工程师,项目经理,具备方案设计能力，熟悉客户需求，具备沟通协调能力,项目执行能力; 风险管控; 资源管理
售前工程师,技术支持工程师,熟悉产品功能，具备客户沟通能力，了解技术方案,技术支持流程; 故障排查技巧; 知识库建设
项目经理,售前工程师,具备客户沟通能力，了解项目全流程，能把握客户需求,技术方案撰写; 产品技术深度; 演示演讲能力
项目经理,实施工程师（高级）,具备项目管理能力，熟悉客户对接,技术方案设计; 系统部署能力; 技术深度
项目经理,运维工程师,具备项目管理经验、沟通协调能力，了解系统部署，熟悉服务器管理,Linux系统管理; 运维工具使用; 监控配置能力
运维工程师,实施工程师,具备系统管理能力、服务器部署经验，了解后端服务运行，熟悉Linux环境,实施流程熟悉; 客户对接能力; 现场调试经验
运维工程师,项目经理,具备项目交付经验、沟通协调能力，了解系统部署，熟悉项目流程,项目管理方法论; 资源协调能力; 客户关系管理
运维工程师,技术支持工程师,具备系统理解能力、故障排查经验，熟悉服务器环境，了解软件运行,技术支持流程; 客户沟通技巧; 知识库建设能力
