源岗位,目标岗位,转换依据,需补充能力
APP推广,产品经理,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备用户增长思维,产品方法论; 需求分析能力; 原型设计能力
APP推广,运营专员,具备用户运营经验，了解活动策划，具备数据分析能力，具备增长思维,内容运营能力; 用户运营深入; 活动策划能力
APP推广,市场专员,具备市场推广经验，了解品牌推广，具备数据分析能力，具备用户增长思维,市场调研能力; 品牌推广深入; 市场活动策划
产品经理,APP推广,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备产品思维,推广渠道了解; 用户增长方法; 应用商店优化
产品经理,运营专员,熟悉产品逻辑，了解用户需求，具备数据分析能力，具备产品思维,内容运营能力; 用户运营深入; 活动策划能力
产品经理,数据分析师,具备数据分析基础，了解用户需求，具备逻辑思维能力，具备产品思维,SQL学习; Python学习; 数据分析深入
运营专员,APP推广,具备用户运营经验，了解活动策划，具备数据分析能力，具备增长思维,推广渠道了解; 应用商店优化; 用户增长方法
运营专员,产品经理,熟悉用户需求，了解产品逻辑，具备数据分析能力，具备运营思维,产品方法论; 需求分析能力; 原型设计能力
运营专员,市场专员,具备市场推广经验，了解品牌推广，具备活动策划能力，具备运营思维,市场调研能力; 品牌推广深入; 市场活动策划
市场专员,APP推广,具备市场推广经验，了解品牌推广，具备数据分析能力，具备市场思维,推广渠道了解; 应用商店优化; 用户增长方法
市场专员,运营专员,具备市场推广经验，了解品牌推广，具备活动策划能力，具备市场思维,内容运营能力; 用户运营深入; 活动策划能力
市场专员,产品经理,熟悉市场需求，了解用户需求，具备数据分析能力，具备市场思维,产品方法论; 需求分析能力; 原型设计能力
数据分析师,APP推广,具备数据分析能力，了解用户行为，具备增长思维，具备数据驱动意识,推广渠道了解; 应用商店优化; 用户增长方法
数据分析师,产品经理,具备数据分析能力，了解用户需求，具备逻辑思维能力，具备数据驱动意识,产品方法论; 需求分析能力; 原型设计能力
数据分析师,运营专员,具备数据分析能力，了解用户行为，具备增长思维，具备数据驱动意识,内容运营能力; 用户运营深入; 活动策划能力
C_C++,嵌入式工程师,具备C/C++编程能力，了解系统级开发，熟悉底层编程，具备Linux环境经验,嵌入式系统知识; ARM架构学习; 驱动开发能力
C_C++,硬件测试,具备硬件知识基础，了解电路原理，具备底层编程能力，熟悉系统调试,测试标准学习; 测试仪器使用; 测试用例设计
C_C++,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
嵌入式工程师,C_C++,具备C/C++编程能力，了解系统级开发，熟悉底层编程，具备Linux环境经验,系统级开发能力; 性能优化能力; 架构设计能力
嵌入式工程师,硬件测试,具备硬件知识基础，了解电路原理，熟悉嵌入式系统，具备调试经验,测试标准学习; 测试仪器使用; 测试用例设计
嵌入式工程师,软件测试,具备代码阅读能力、逻辑思维能力，了解嵌入式系统开发，具备调试经验,测试用例设计方法; 测试工具使用; 缺陷管理流程
硬件测试,C_C++,具备硬件知识基础，了解电路原理，具备系统调试经验，熟悉底层编程,C/C++编程深入学习; 系统级开发能力; 性能优化能力
硬件测试,嵌入式工程师,具备硬件知识基础，了解电路原理，具备系统调试经验，熟悉嵌入式系统,嵌入式系统知识; ARM架构学习; 驱动开发能力
硬件测试,软件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,软件测试流程; 测试工具使用; 缺陷管理流程
Java,C_C++,具备编程基础、逻辑思维能力，了解系统设计，熟悉Linux环境，具备面向对象思维,C/C++语言深入学习; 底层编程能力; 内存管理
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,嵌入式工程师,具备编程基础、逻辑思维能力，了解系统设计，具备面向对象思维,嵌入式系统知识; ARM架构学习; C/C++编程
软件测试,C_C++,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,C/C++编程深入学习; 系统级开发能力; 性能优化能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,硬件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,硬件知识学习; 测试仪器使用; 测试用例设计
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript深入学习; Vue/React框架掌握; 前端工程化工具
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,项目经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,项目管理方法论; 风险管理能力; 客户关系管理
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
前端开发,软件测试,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,测试用例设计方法; 测试工具使用; 后端知识补充
前端开发,项目经理,具备项目交付经验、沟通协调能力，了解前端技术，熟悉UI/UX设计,项目管理方法论; 后端知识了解; 风险管理能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解系统功能，熟悉软件开发生命周期,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
软件测试,项目经理,具备项目交付经验、质量把控能力，熟悉测试流程，了解项目管理,项目管理方法论; 资源协调能力; 客户关系管理
项目经理,Java,具备项目管理经验、沟通协调能力，了解技术实现，熟悉项目流程,Java编程深入学习; 后端开发框架; 代码编写能力
项目经理,前端开发,具备项目管理经验、沟通协调能力，了解前端技术，熟悉UI/UX设计,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
项目经理,运维工程师,具备项目管理经验、沟通协调能力，了解系统部署，熟悉服务器管理,Linux系统管理; 运维工具使用; 监控配置能力
运维工程师,Java,具备系统管理能力、服务器部署经验，了解后端服务运行，熟悉Linux环境,Java编程学习; 后端开发框架; 代码编写能力
运维工程师,项目经理,具备项目交付经验、沟通协调能力，了解系统部署，熟悉项目流程,项目管理方法论; 资源协调能力; 客户关系管理
运维工程师,软件测试,具备系统理解能力、故障排查经验，熟悉服务器环境，了解软件运行,测试用例设计方法; 测试工具使用; 缺陷管理流程
前端开发,UI/UX设计师,具备审美能力、理解用户体验，熟悉Web界面，了解交互设计，具备设计基础,设计理论学习; Figma/Sketch设计工具; 用户研究方法
前端开发,产品经理,具备产品理解能力、用户思维，熟悉产品开发流程，了解需求分析,产品方法论; 需求分析能力; 商业思维
前端开发,Java,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,Java语言深入学习; Spring Boot/Spring Cloud框架; 数据库设计
UI/UX设计师,前端开发,具备界面设计能力、用户体验思维，熟悉Web设计规范，了解前端技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
UI/UX设计师,产品经理,具备用户思维、产品理解能力，熟悉用户研究，了解产品流程,产品方法论; 需求分析能力; 商业思维
UI/UX设计师,软件测试,具备产品理解能力、用户体验思维，熟悉界面交互，了解功能验证,测试用例设计方法; 测试工具使用; 缺陷管理流程
产品经理,前端开发,具备产品思维、用户思维，熟悉产品开发流程，了解技术实现,HTML/CSS/JavaScript学习; Vue/React框架; 前端开发能力
产品经理,UI/UX设计师,具备用户思维、产品理解能力，熟悉用户研究，了解设计流程,设计理论学习; Figma/Sketch设计工具; 设计能力提升
产品经理,Java,具备产品思维、逻辑思维能力，了解技术实现，熟悉产品流程,Java编程深入学习; 后端开发框架; 代码编写能力
Java,前端开发,具备编程基础、逻辑思维能力，了解前后端交互，熟悉Web开发流程,HTML/CSS/JavaScript深入学习; Vue/React框架掌握; 前端工程化工具
Java,产品经理,具备项目交付经验、沟通协调能力，了解技术实现，熟悉项目流程,产品方法论; 需求分析能力; 商业思维
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
软件测试,前端开发,具备产品理解能力、逻辑思维能力，熟悉Web界面，了解用户体验,HTML/CSS/JavaScript学习; Vue/React框架; 前端工程化
