源岗位,目标岗位,转换依据,需补充能力
科研人员,产品经理,具备科研思维，了解市场需求，具备数据分析能力，具备创新能力,产品方法论; 需求分析能力; 原型设计能力
科研人员,数据分析师,具备科研能力，了解数据分析方法，具备数据分析能力，具备创新能力,数据分析工具; 统计学深入; 机器学习基础
科研人员,Java,具备科研思维，了解技术实现，具备数据分析能力，具备创新能力,Java编程学习; 后端开发框架; 代码编写能力
产品经理,科研人员,具备产品思维，了解市场需求，具备数据分析能力，具备创新能力,科研方法; 文献调研; 实验设计
产品经理,数据分析师,具备数据分析基础，了解用户需求，具备逻辑思维能力，具备产品思维,SQL学习; Python学习; 数据分析深入
产品经理,Java,具备产品思维，了解技术实现，具备逻辑思维能力，具备产品思维,Java编程深入学习; 后端开发框架; 代码编写能力
Java,科研人员,具备技术基础，了解系统理解能力，具备逻辑思维能力，具备创新能力,科研方法; 文献调研; 实验设计
Java,数据分析师,具备编程基础，了解数据分析，具备逻辑思维能力，具备数据思维,SQL学习; Python学习; 数据分析深入
Java,产品经理,具备技术理解，了解产品逻辑，具备项目经验，具备逻辑思维能力,产品方法论; 需求分析能力; 原型设计能力
数据分析师,科研人员,具备数据分析能力，了解数据分析方法，具备逻辑思维能力，具备创新能力,科研方法; 文献调研; 实验设计
数据分析师,产品经理,具备数据分析能力，了解用户需求，具备逻辑思维能力，具备数据驱动意识,产品方法论; 需求分析能力; 原型设计能力
数据分析师,Java,具备数据分析能力，了解数据分析，具备逻辑思维能力，具备数据思维,Java编程学习; 后端开发框架; 代码编写能力
软件测试,科研人员,具备质量意识，了解产品功能，具备问题分析能力，具备创新能力,科研方法; 文献调研; 实验设计
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,数据分析师,具备数据分析能力，了解产品数据，具备逻辑思维能力，具备数据思维,SQL学习; Python学习; 数据分析深入
