岗位名称,层级,岗位名称（层级）,能力重点
APP推广,初级,APP推广专员,了解APP推广的基本工作内容，了解社交媒体、应用商店推广等基础渠道，通过课程学习或实习接触过相关工作，但无独立推广经验
APP推广,中级,APP推广主管,能独立负责APP推广渠道管理、数据分析、用户增长策略，熟练使用数据分析工具，掌握应用商店优化、社交媒体推广，能独立完成常规推广任务
APP推广,高级,APP推广经理 / 用户增长负责人,能制定APP推广战略和增长方案，主导大型推广活动策划，建立增长模型和数据分析体系，担任推广负责人或用户增长专家角色
产品经理,初级,产品助理,了解产品需求分析、原型设计、需求文档撰写，通过课程学习或实习接触过相关工作，但尚无独立产品经验
产品经理,中级,产品经理,能独立进行产品规划、需求管理、项目协调，能独立完成常规产品任务
产品经理,高级,高级产品经理 / 产品总监,能主导产品战略规划、商业模式设计、产品路线图制定，能指导初级产品经理，能处理复杂的产品问题
运营专员,初级,运营助理,了解运营的基本工作内容，了解内容运营、用户运营等基础运营工作，通过课程学习或实习接触过相关工作，但无独立运营经验
运营专员,中级,运营专员,能独立负责内容运营、用户运营、活动策划，熟练使用运营工具，掌握数据分析，能独立完成常规运营任务
运营专员,高级,运营经理 / 运营总监,能制定运营战略和增长方案，主导大型活动策划，建立运营体系和数据分析体系，担任运营负责人角色
市场专员,初级,市场助理,了解市场的基本工作内容，了解市场调研、品牌推广等基础市场工作，通过课程学习或实习接触过相关工作，但无独立市场经验
市场专员,中级,市场专员,能独立负责市场调研、品牌推广、活动策划，熟练使用市场工具，掌握数据分析，能独立完成常规市场任务
市场专员,高级,市场经理 / 市场总监,能制定市场战略和增长方案，主导大型市场活动策划，建立市场体系和数据分析体系，担任市场负责人角色
数据分析师,初级,数据分析助理,了解数据分析的基本工作内容，了解Excel、SQL等基础数据分析工具，通过课程学习或实习接触过相关工作，但无独立分析经验
数据分析师,中级,数据分析师,能独立负责数据收集、清洗、分析、可视化，熟练使用SQL、Python等分析工具，掌握统计学和机器学习基础，能独立完成常规分析任务
数据分析师,高级,高级数据分析师 / 数据科学家,能制定数据分析战略和方案，主导复杂数据分析和建模，建立数据分析体系和数据产品，担任数据分析负责人或数据科学家角色
C_C++,初级,助理C/C++工程师,了解C/C++语言基础、数据结构、算法，了解Linux环境基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
C_C++,中级,C/C++工程师,能独立使用C/C++开发系统级应用、嵌入式软件，熟练使用Linux环境、GCC/GDB等工具，掌握多线程、网络编程，能独立完成模块开发和常见问题排查
C_C++,高级,高级C/C++工程师 / 系统架构师,能主导系统架构设计、性能优化，精通内存管理、并发编程，熟悉底层驱动开发，能指导初中级工程师
硬件测试,初级,助理硬件测试工程师,了解硬件测试的基本工作内容，了解示波器、万用表等基本仪器的使用，通过课程学习或实习接触过相关工作，但尚无独立测试经验
硬件测试,中级,硬件测试工程师,能独立负责硬件功能测试、可靠性测试、环境测试，熟练使用示波器、综测仪等测试仪器，掌握CE/FCC/3C等认证标准，能独立完成常规测试任务和问题排查
硬件测试,高级,高级硬件测试工程师 / 测试经理,能制定硬件测试标准和规范，主导测试平台搭建和自动化测试，解决行业级硬件测试难题，担任测试负责人或技术专家角色
