源岗位,目标岗位,转换依据,需补充能力
C_C++,嵌入式工程师,具备C/C++编程能力，了解系统级开发，熟悉底层编程，具备Linux环境经验,嵌入式系统知识; ARM架构学习; 驱动开发能力
C_C++,硬件测试,具备硬件知识基础，了解电路原理，具备底层编程能力，熟悉系统调试,测试标准学习; 测试仪器使用; 测试用例设计
C_C++,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
嵌入式工程师,C_C++,具备C/C++编程能力，了解系统级开发，熟悉底层编程，具备Linux环境经验,系统级开发能力; 性能优化能力; 架构设计能力
嵌入式工程师,硬件测试,具备硬件知识基础，了解电路原理，熟悉嵌入式系统，具备调试经验,测试标准学习; 测试仪器使用; 测试用例设计
嵌入式工程师,软件测试,具备代码阅读能力、逻辑思维能力，了解嵌入式系统开发，具备调试经验,测试用例设计方法; 测试工具使用; 缺陷管理流程
硬件测试,C_C++,具备硬件知识基础，了解电路原理，具备系统调试经验，熟悉底层编程,C/C++编程深入学习; 系统级开发能力; 性能优化能力
硬件测试,嵌入式工程师,具备硬件知识基础，了解电路原理，具备系统调试经验，熟悉嵌入式系统,嵌入式系统知识; ARM架构学习; 驱动开发能力
硬件测试,软件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,软件测试流程; 测试工具使用; 缺陷管理流程
Java,C_C++,具备编程基础、逻辑思维能力，了解系统设计，熟悉Linux环境，具备面向对象思维,C/C++语言深入学习; 底层编程能力; 内存管理
Java,软件测试,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,测试用例设计方法; 测试工具使用; 缺陷管理流程
Java,嵌入式工程师,具备编程基础、逻辑思维能力，了解系统设计，具备面向对象思维,嵌入式系统知识; ARM架构学习; C/C++编程
软件测试,C_C++,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,C/C++编程深入学习; 系统级开发能力; 性能优化能力
软件测试,Java,具备代码阅读能力、逻辑思维能力，了解软件开发生命周期，熟悉系统功能,Java编程深入学习; 后端开发框架; 数据库设计
软件测试,硬件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程，具备问题分析能力,硬件知识学习; 测试仪器使用; 测试用例设计
