岗位名称,层级,岗位名称（层级）,能力重点
软件测试,初级,助理软件测试工程师,了解软件功能测试、测试用例执行、缺陷跟踪，通过课程学习或实习接触过相关工作，但无独立测试经验
软件测试,中级,软件测试工程师,能独立进行测试用例设计、自动化测试、性能测试基础，能独立完成常规测试任务和问题分析
软件测试,高级,高级软件测试工程师 / 测试经理,能主导测试方案设计、性能测试、自动化测试平台建设，能指导初级测试工程师，能处理复杂的测试问题
Java,初级,助理Java工程师,了解Java语言基础、面向对象概念，了解MySQL等数据库基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
Java,中级,Java工程师,能独立使用Spring Boot/Spring Cloud开发后端服务，熟练使用MySQL/Oracle数据库，掌握Redis缓存和Kafka/RabbitMQ消息队列，能独立完成模块开发和常见问题排查
Java,高级,高级Java工程师 / 技术经理,能主导微服务架构设计与开发，精通JVM性能调优，熟悉分布式事务、分布式锁等分布式系统核心技术，能指导初中级工程师
前端开发,初级,助理前端开发工程师,了解HTML、CSS、JavaScript基础，了解前端开发的基本概念，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
前端开发,中级,前端开发工程师,能独立使用Vue/React等前端框架开发Web应用，熟练使用CSS预处理器、构建工具，能独立完成模块开发和常见问题排查
前端开发,高级,高级前端开发工程师 / 前端技术经理,能主导前端架构设计与开发，精通性能优化和工程化，熟悉前端安全、跨端开发等核心技术，能指导初中级工程师
产品经理,初级,产品助理,了解产品需求分析、原型设计、需求文档撰写，通过课程学习或实习接触过相关工作，但尚无独立产品经验
产品经理,中级,产品经理,能独立进行产品规划、需求管理、项目协调，能独立完成常规产品任务
产品经理,高级,高级产品经理 / 产品总监,能主导产品战略规划、商业模式设计、产品路线图制定，能指导初级产品经理，能处理复杂的产品问题
技术支持工程师,初级,助理技术支持工程师,了解技术支持的基本工作内容，了解计算机基础、网络基础等知识，通过课程学习或实习接触过相关工作，但尚无独立支持经验
技术支持工程师,中级,技术支持工程师,能独立处理常见的技术问题，熟练使用故障排查工具，掌握公司产品的使用和配置，能独立完成常规技术支持任务
技术支持工程师,高级,高级技术支持工程师 / 技术支持主管,能建立技术支持体系和标准，解决行业级技术难题，担任技术支持负责人或技术专家角色，推动技术支持方法革新
