岗位名称,层级,岗位名称（层级）,能力重点
硬件测试,初级,助理硬件测试工程师,了解硬件测试的基本工作内容，了解示波器、万用表等基本仪器的使用，通过课程学习或实习接触过相关工作，但尚无独立测试经验
硬件测试,中级,硬件测试工程师,能独立负责硬件功能测试、可靠性测试、环境测试，熟练使用示波器、综测仪等测试仪器，掌握CE/FCC/3C等认证标准，能独立完成常规测试任务和问题排查
硬件测试,高级,高级硬件测试工程师 / 测试经理,能制定硬件测试标准和规范，主导测试平台搭建和自动化测试，解决行业级硬件测试难题，担任测试负责人或技术专家角色
电子工程师,初级,助理电子工程师,了解电子电路基础、PCB设计基础，了解EDA软件的使用，通过课程学习或实习接触过相关工作，但尚无独立设计经验
电子工程师,中级,电子工程师,能独立负责电路设计、PCB布局、硬件调试，熟练使用Altium Designer等EDA软件，掌握模拟电路、数字电路设计，能独立完成常规设计任务和问题排查
电子工程师,高级,高级电子工程师 / 硬件架构师,能制定电子设计标准和规范，主导复杂系统的硬件架构设计，解决行业级设计难题，担任设计负责人或技术专家角色
质量工程师,初级,助理质量工程师,了解质量管理基础、质量标准，通过课程学习或实习接触过相关工作，但尚无独立质量管理经验
质量工程师,中级,质量工程师,能独立负责质量管控、质量改进、质量体系维护，熟练使用质量工具和方法，能独立完成常规质量任务
质量工程师,高级,高级质量工程师 / 质量经理,能建立质量管理体系、制定质量标准，主导质量提升项目，能指导初级质量工程师，能处理复杂的质量问题
产品经理,初级,产品助理,了解产品需求分析、原型设计、需求文档撰写，通过课程学习或实习接触过相关工作，但尚无独立产品经验
产品经理,中级,产品经理,能独立进行产品规划、需求管理、项目协调，能独立完成常规产品任务
产品经理,高级,高级产品经理 / 产品总监,能主导产品战略规划、商业模式设计、产品路线图制定，能指导初级产品经理，能处理复杂的产品问题
技术支持工程师,初级,助理技术支持工程师,了解技术支持的基本工作内容，了解计算机基础、网络基础等知识，通过课程学习或实习接触过相关工作，但尚无独立支持经验
技术支持工程师,中级,技术支持工程师,能独立处理常见的技术问题，熟练使用故障排查工具，掌握公司产品的使用和配置，能独立完成常规技术支持任务
技术支持工程师,高级,高级技术支持工程师 / 技术支持主管,能建立技术支持体系和标准，解决行业级技术难题，担任技术支持负责人或技术专家角色，推动技术支持方法革新
