岗位名称,层级,岗位名称（层级）,能力重点
科研人员,初级,助理研究员,了解科研工作的基本内容，了解文献调研、实验设计等基础方法，通过课程学习或实习接触过相关工作，但无独立科研经验
科研人员,中级,科研人员,能独立负责文献调研、实验设计、数据分析，熟练使用科研工具，掌握科研方法，能独立完成常规科研任务
科研人员,高级,高级研究员 / 科研团队负责人,能制定科研方向和研究计划，主导科研项目管理，建立科研体系和标准，担任科研负责人或技术专家角色
产品经理,初级,产品助理,了解产品需求分析、原型设计、需求文档撰写，通过课程学习或实习接触过相关工作，但尚无独立产品经验
产品经理,中级,产品经理,能独立进行产品规划、需求管理、项目协调，能独立完成常规产品任务
产品经理,高级,高级产品经理 / 产品总监,能主导产品战略规划、商业模式设计、产品路线图制定，能指导初级产品经理，能处理复杂的产品问题
Java,初级,助理Java工程师,了解Java语言基础、面向对象概念，了解MySQL等数据库基本操作，通过课程学习或技术文章接触过相关技术，但尚无实际开发经验
Java,中级,Java工程师,能独立使用Spring Boot/Spring Cloud开发后端服务，熟练使用MySQL/Oracle数据库，掌握Redis缓存和Kafka/RabbitMQ消息队列，能独立完成模块开发和常见问题排查
Java,高级,高级Java工程师 / 技术经理,能主导微服务架构设计与开发，精通JVM性能调优，熟悉分布式事务、分布式锁等分布式系统核心技术，能指导初中级工程师
数据分析师,初级,数据分析助理,了解数据分析的基本工作内容，了解Excel、SQL等基础数据分析工具，通过课程学习或实习接触过相关工作，但无独立分析经验
数据分析师,中级,数据分析师,能独立负责数据收集、清洗、分析、可视化，熟练使用SQL、Python等分析工具，掌握统计学和机器学习基础，能独立完成常规分析任务
数据分析师,高级,高级数据分析师 / 数据科学家,能制定数据分析战略和方案，主导复杂数据分析和建模，建立数据分析体系和数据产品，担任数据分析负责人或数据科学家角色
软件测试,初级,助理软件测试工程师,了解软件功能测试、测试用例执行、缺陷跟踪，通过课程学习或实习接触过相关工作，但无独立测试经验
软件测试,中级,软件测试工程师,能独立进行测试用例设计、自动化测试、性能测试基础，能独立完成常规测试任务和问题分析
软件测试,高级,高级软件测试工程师 / 测试经理,能主导测试方案设计、性能测试、自动化测试平台建设，能指导初级测试工程师，能处理复杂的测试问题
