源岗位,目标岗位,转换依据,需补充能力
硬件测试,电子工程师,具备硬件知识基础，了解电路原理，熟悉测试仪器和调试方法,电路设计能力; PCB布局能力; EDA软件精通
硬件测试,质量工程师,具备质量意识，熟悉测试标准，了解产品质量控制流程,质量管理体系知识; 质量改进方法; 质量工具使用
硬件测试,技术支持工程师,熟悉产品功能，具备故障排查能力，了解产品硬件原理,技术支持流程; 客户沟通技巧; 知识库建设能力
电子工程师,硬件测试,具备硬件设计能力，了解电路原理，熟悉调试和验证方法,测试标准学习; 测试仪器使用; 测试用例设计
电子工程师,质量工程师,具备硬件知识，了解设计标准，熟悉产品质量要求,质量管理体系知识; 质量改进方法; 质量工具使用
电子工程师,产品经理,具备技术理解能力，了解产品实现，熟悉硬件设计流程,产品方法论; 需求分析能力; 商业思维
质量工程师,硬件测试,具备质量意识，熟悉测试标准，了解产品质量控制流程,测试仪器使用; 测试用例设计; 硬件调试经验
质量工程师,电子工程师,具备硬件知识，了解设计标准，熟悉产品质量要求,电路设计能力; PCB布局能力; EDA软件精通
质量工程师,技术支持工程师,具备产品理解能力，熟悉质量标准，了解产品功能,技术支持流程; 客户沟通技巧; 知识库建设能力
产品经理,电子工程师,具备产品思维，了解技术实现，熟悉硬件设计流程,电路设计能力; PCB布局能力; EDA软件精通
产品经理,硬件测试,具备产品理解能力，熟悉产品功能，了解质量要求,测试标准学习; 测试仪器使用; 测试用例设计
产品经理,质量工程师,具备产品思维，熟悉产品功能，了解质量要求,质量管理体系知识; 质量改进方法; 质量工具使用
技术支持工程师,硬件测试,熟悉产品功能，具备故障排查能力，了解产品硬件原理,测试标准学习; 测试仪器使用; 测试用例设计
技术支持工程师,质量工程师,熟悉产品功能，了解质量问题，具备客户反馈处理经验,质量管理体系知识; 质量改进方法; 质量工具使用
技术支持工程师,产品经理,熟悉产品功能，了解用户需求，具备客户沟通能力,产品方法论; 需求分析能力; 商业思维
